,date,actual_pickup,scheduled_pickup,actual_pickup_boxcox,rolling_std_original,rolling_std_boxcox,scheduled_pickup_lag_7,scheduled_pickup_lag_14,actual_pickup_boxcox_lag_7,actual_pickup_boxcox_lag_14
110,2024-02-19,0,16,0.0,21.074716561816903,1.6571513690149864,35.0,70.0,3.017142392892345,3.0804539349579154
111,2024-02-20,51,55,3.600640933727264,21.554635205694733,1.6586217546392557,32.0,63.0,3.2934939187194803,2.8736006112560792
112,2024-02-21,31,12,3.193967390135574,20.715949766125707,1.6436026654237375,17.0,36.0,3.2697405010008795,3.5342429632119923
113,2024-02-22,56,56,3.6764861788659347,21.7067445422083,1.6620092532127118,93.0,27.0,3.784410354473241,3.1391943904480786
114,2024-02-23,1,58,0.6817938513425527,21.983300872284385,1.659879647031085,18.0,64.0,0.6817938513425527,0.6817938513425527
115,2024-02-24,0,10,0.0,22.02871688991649,1.662754087152496,7.0,22.0,0.0,0.0
116,2024-02-25,0,8,0.0,22.02871688991649,1.662754087152496,9.0,13.0,0.0,0.0
117,2024-02-26,25,35,3.017142392892345,21.769561160102615,1.6503793623041587,70.0,29.0,3.0804539349579154,3.8092174744722143
118,2024-02-27,35,32,3.2934939187194803,21.62586786511793,1.6390524260283807,63.0,66.0,2.8736006112560792,3.70489048982411
119,2024-02-28,34,17,3.2697405010008795,20.61759097157727,1.624071815516333,36.0,13.0,3.5342429632119923,3.402739893664362
120,2024-02-29,64,93,3.784410354473241,22.13646287250398,1.6529296425456044,27.0,32.0,3.1391943904480786,3.690816623244845
121,2024-03-01,1,18,0.6817938513425527,22.44369711589169,1.6578168045373984,64.0,50.0,0.6817938513425527,2.265618206679149
122,2024-03-02,0,7,0.0,22.760345632993655,1.6772991614004438,22.0,32.0,0.0,0.0
123,2024-03-03,0,9,0.0,22.760345632993655,1.6772991614004438,13.0,3.0,0.0,0.0
124,2024-03-04,27,70,3.0804539349579154,22.472869978208642,1.6628046790564552,29.0,36.0,3.8092174744722143,3.44257841158539
125,2024-03-05,21,63,2.8736006112560792,22.122672616077853,1.6369465687847262,66.0,23.0,3.70489048982411,3.0494125308376674
126,2024-03-06,47,36,3.5342429632119923,21.7517075561712,1.6324095758997283,13.0,30.0,3.402739893664362,3.1670437934366173
127,2024-03-07,29,27,3.1391943904480786,21.7856854827665,1.6408895874616392,32.0,13.0,3.690816623244845,3.3165658227715964
128,2024-03-08,1,64,0.6817938513425527,22.08406092924118,1.6410391336084915,50.0,46.0,2.265618206679149,0.0
129,2024-03-09,0,22,0.0,22.279855341159386,1.652414554813318,32.0,50.0,0.0,0.6817938513425527
130,2024-03-10,0,13,0.0,22.279855341159386,1.652414554813318,3.0,8.0,0.0,0.0
131,2024-03-11,66,29,3.8092174744722143,23.486582131716933,1.6607547161146639,36.0,16.0,3.44257841158539,3.5342429632119923
132,2024-03-12,58,66,3.70489048982411,23.997629193246397,1.6551902396676952,23.0,14.0,3.0494125308376674,3.600640933727264
133,2024-03-13,40,13,3.402739893664362,23.113040554590842,1.6432769888302479,30.0,32.0,3.1670437934366173,3.4229076408035533
134,2024-03-14,57,32,3.690816623244845,23.53683833102249,1.6486413808512876,13.0,24.0,3.3165658227715964,3.600640933727264
135,2024-03-15,10,50,2.265618206679149,23.66247332123506,1.6409939640984665,46.0,85.0,0.0,0.0
136,2024-03-16,0,32,0.0,23.805823686218258,1.6553327441501482,50.0,14.0,0.6817938513425527,0.0
137,2024-03-17,0,3,0.0,23.805823686218258,1.6553327441501482,8.0,2.0,0.0,0.0
138,2024-03-18,42,36,3.44257841158539,23.714392545311032,1.642217827408346,16.0,16.0,3.5342429632119923,3.1391943904480786
139,2024-03-19,26,23,3.0494125308376674,23.30891990475828,1.610737182076814,14.0,16.0,3.600640933727264,3.2452650816098783
140,2024-03-20,30,30,3.1670437934366173,22.880398678304555,1.5742730205007678,32.0,9.0,3.4229076408035533,2.9835447193654585
141,2024-03-21,36,13,3.3165658227715964,22.45406549984355,1.5661924454583886,24.0,35.0,3.600640933727264,3.382050023310434
142,2024-03-22,0,46,0.0,22.857479472069794,1.6015414102208323,85.0,56.0,0.0,0.6817938513425527
143,2024-03-23,1,50,0.6817938513425527,22.363995078296476,1.5900909413155653,14.0,35.0,0.0,0.0
144,2024-03-24,0,8,0.0,22.396633572979198,1.6135744364791613,2.0,29.0,0.0,0.0
145,2024-03-25,47,16,3.5342429632119923,22.472486370630218,1.5967699607969303,16.0,70.0,3.1391943904480786,3.70489048982411
146,2024-03-26,51,14,3.600640933727264,22.583077786228575,1.5727134791366308,16.0,29.0,3.2452650816098783,3.1103548456082684
147,2024-03-27,41,32,3.4229076408035533,22.772841255552077,1.5819909709893263,9.0,9.0,2.9835447193654585,0.0
148,2024-03-28,51,24,3.600640933727264,23.18739253158477,1.5904111161433507,35.0,25.0,3.382050023310434,0.0
149,2024-03-29,0,85,0.0,23.60995309308071,1.6255947514587632,56.0,66.0,0.6817938513425527,0.0
150,2024-03-30,0,14,0.0,22.830610627164475,1.6357480830350386,35.0,14.0,0.0,0.0
151,2024-03-31,0,2,0.0,22.864141477808463,1.6586381043069804,29.0,37.0,0.0,0.0
152,2024-04-01,29,16,3.1391943904480786,22.48115430422946,1.6312625181940905,70.0,51.0,3.70489048982411,3.879229436027384
153,2024-04-02,33,16,3.2452650816098783,22.087105511702013,1.5987388667617368,29.0,33.0,3.1103548456082684,3.7969123746128264
154,2024-04-03,24,9,2.9835447193654585,22.083436347623536,1.5968826890636199,9.0,2.0,0.0,3.1103548456082684
155,2024-04-04,39,35,3.382050023310434,22.224455826445094,1.6075681262392438,25.0,25.0,0.0,3.44257841158539
156,2024-04-05,1,56,0.6817938513425527,22.260113289877054,1.6078283858507654,66.0,18.0,0.0,1.0702738200850799
157,2024-04-06,0,35,0.0,22.6497824201064,1.6373697638734634,14.0,38.0,0.0,0.0
158,2024-04-07,0,29,0.0,22.683631244507165,1.6602952781478082,37.0,29.0,0.0,0.0
159,2024-04-08,58,70,3.70489048982411,23.14621192413095,1.648970972593626,51.0,49.0,3.879229436027384,3.5845563380463825
160,2024-04-09,28,29,3.1103548456082684,22.67704292587702,1.6123003633557678,33.0,41.0,3.7969123746128264,3.4229076408035533
161,2024-04-10,0,9,0.0,21.80730658952763,1.62822581993843,2.0,10.0,3.1103548456082684,2.911907889285348
162,2024-04-11,0,25,0.0,21.19650806201315,1.637877363276518,25.0,11.0,3.44257841158539,3.3608109410157287
163,2024-04-12,0,66,0.0,21.248502313685844,1.6490142887503192,18.0,12.0,1.0702738200850799,0.0
164,2024-04-13,0,14,0.0,20.36847349812151,1.6407914365328085,38.0,46.0,0.0,0.0
165,2024-04-14,0,37,0.0,20.588496955740887,1.6647590322530588,29.0,29.0,0.0,0.0
166,2024-04-15,72,51,3.879229436027384,22.53449463102872,1.6865416263930086,49.0,80.0,3.5845563380463825,3.8092174744722143
167,2024-04-16,65,33,3.7969123746128264,23.61433424022781,1.6945782012880717,41.0,12.0,3.4229076408035533,3.2697405010008795
168,2024-04-17,28,2,3.1103548456082684,23.351880969797403,1.6849236879144638,10.0,16.0,2.911907889285348,3.690816623244845
169,2024-04-18,42,25,3.44257841158539,23.627472807398757,1.6960915718255314,11.0,46.0,3.3608109410157287,3.7456587050643964
170,2024-04-19,2,18,1.0702738200850799,23.87409503610772,1.6835290152858975,12.0,15.0,0.0,0.0
171,2024-04-20,0,38,0.0,24.029579473123793,1.6887210700647306,46.0,36.0,0.0,0.0
172,2024-04-21,0,29,0.0,24.029579473123793,1.6887210700647306,29.0,56.0,0.0,0.0
173,2024-04-22,50,49,3.5845563380463825,24.328900556721642,1.712572356788594,80.0,39.0,3.8092174744722143,3.382050023310434
174,2024-04-23,41,41,3.4229076408035533,24.199743515312235,1.7041496177896835,12.0,29.0,3.2697405010008795,2.5401561416483127
175,2024-04-24,22,10,2.911907889285348,23.785946783086356,1.687152409946294,16.0,63.0,3.690816623244845,3.44257841158539
176,2024-04-25,38,11,3.3608109410157287,23.364773563596994,1.6792171460976613,46.0,31.0,3.7456587050643964,2.9485083994047625
177,2024-04-26,0,12,0.0,23.422187143277476,1.68575330847886,15.0,12.0,0.0,0.0
178,2024-04-27,0,46,0.0,22.999150409096202,1.677428012031705,36.0,23.0,0.0,0.0
179,2024-04-28,0,29,0.0,22.999150409096202,1.677428012031705,56.0,64.0,0.0,0.0
180,2024-04-29,66,80,3.8092174744722143,24.23581466845458,1.6940690482827616,39.0,20.0,3.382050023310434,3.1391943904480786
181,2024-04-30,34,12,3.2697405010008795,24.000862053483512,1.6824382419182693,29.0,40.0,2.5401561416483127,3.2697405010008795
182,2024-05-01,57,16,3.690816623244845,24.79757125667522,1.699785789917961,63.0,34.0,3.44257841158539,3.5342429632119923
183,2024-05-02,61,46,3.7456587050643964,25.685006136457993,1.7160033666204113,31.0,40.0,2.9485083994047625,3.600640933727264
184,2024-05-03,0,15,0.0,26.064552931907922,1.737280258945585,12.0,34.0,0.0,0.0
185,2024-05-04,0,36,0.0,26.23512167296737,1.7407502401627806,23.0,56.0,0.0,0.0
186,2024-05-05,0,56,0.0,26.263562451496902,1.7586764952631235,64.0,20.0,0.0,0.0
187,2024-05-06,39,39,3.382050023310434,26.094897550305106,1.7567513040172484,20.0,37.0,3.1391943904480786,0.0
188,2024-05-07,14,29,2.5401561416483127,25.784718810526726,1.729178415639857,40.0,35.0,3.2697405010008795,3.498834859031191
189,2024-05-08,42,63,3.44257841158539,25.2142315223837,1.7201732932430105,34.0,40.0,3.5342429632119923,3.5681378368963395
190,2024-05-09,23,31,2.9485083994047625,25.199069495683283,1.7163413196362791,40.0,42.0,3.600640933727264,0.0
191,2024-05-10,0,12,0.0,25.199069495683283,1.7163413196362791,34.0,40.0,0.0,0.0
192,2024-05-11,0,23,0.0,25.199069495683283,1.7163413196362791,56.0,57.0,0.0,0.0
193,2024-05-12,0,64,0.0,25.199069495683283,1.7163413196362791,20.0,17.0,0.0,0.0
194,2024-05-13,29,20,3.1391943904480786,24.831964013778876,1.695422187659833,37.0,59.0,0.0,4.1727928265216985
195,2024-05-14,34,40,3.2697405010008795,24.464118693471786,1.6705536270149364,35.0,45.0,3.498834859031191,3.983493003837781
196,2024-05-15,47,34,3.5342429632119923,23.21226390084127,1.6587485728134155,40.0,85.0,3.5681378368963395,4.1727928265216985
197,2024-05-16,51,40,3.600640933727264,22.499042125204443,1.6519903847923294,42.0,16.0,0.0,3.963732898104834
198,2024-05-17,0,34,0.0,22.90449938230528,1.680027749680112,40.0,3.0,0.0,1.0702738200850799
199,2024-05-18,0,56,0.0,22.990752763745647,1.6913085900100244,57.0,36.0,0.0,0.0
200,2024-05-19,0,20,0.0,23.05256362436014,1.7188219883944686,17.0,47.0,0.0,0.0
201,2024-05-20,0,37,0.0,23.05256362436014,1.7188219883944686,59.0,89.0,4.1727928265216985,4.217223401587727
202,2024-05-21,45,35,3.498834859031191,23.062658279056897,1.711977112308738,45.0,45.0,3.983493003837781,3.879229436027384
203,2024-05-22,49,40,3.5681378368963395,23.023126803631428,1.7114242310063132,85.0,61.0,4.1727928265216985,3.647017829408276
204,2024-05-23,0,42,0.0,23.138488610374136,1.72077831459867,16.0,38.0,3.963732898104834,3.879229436027384
205,2024-05-24,0,40,0.0,23.474833675490732,1.73738229691732,3.0,37.0,1.0702738200850799,0.0
206,2024-05-25,0,57,0.0,23.549141575979306,1.734506670440363,36.0,91.0,0.0,2.265618206679149
207,2024-05-26,0,17,0.0,23.549141575979306,1.734506670440363,47.0,41.0,0.0,0.0
208,2024-05-27,104,59,4.1727928265216985,27.817240168189084,1.7702684676936178,89.0,11.0,4.217223401587727,0.0
209,2024-05-28,82,45,3.983493003837781,29.44351693760737,1.786100102755894,45.0,30.0,3.879229436027384,0.0
210,2024-05-29,104,85,4.1727928265216985,31.939688134997798,1.8010012424250346,61.0,64.0,3.647017829408276,0.0
211,2024-05-30,80,16,3.963732898104834,33.35198903234697,1.8239730655745778,38.0,25.0,3.879229436027384,4.195331443857608
212,2024-05-31,2,3,1.0702738200850799,33.25422797421283,1.7972336094549257,37.0,43.0,0.0,1.0702738200850799
213,2024-06-01,0,36,0.0,32.95878652492233,1.787565820292529,91.0,85.0,2.265618206679149,0.0
214,2024-06-02,0,47,0.0,32.95878652492233,1.787565820292529,41.0,77.0,0.0,0.0
215,2024-06-03,110,89,4.217223401587727,36.07248449900608,1.8167833211487217,11.0,32.0,0.0,0.0
216,2024-06-04,72,45,3.879229436027384,36.50351896121418,1.8210596067780371,30.0,53.0,0.0,4.0307884527636375
217,2024-06-05,54,61,3.647017829408276,36.72037863226019,1.8288898307805665,64.0,18.0,0.0,3.879229436027384
218,2024-06-06,72,38,3.879229436027384,37.295033720723254,1.8597451516833028,25.0,37.0,4.195331443857608,3.922631560097957
219,2024-06-07,0,37,0.0,37.7440868475318,1.8737938674615213,43.0,46.0,1.0702738200850799,0.0
220,2024-06-08,10,91,2.265618206679149,37.924380294075405,1.8645518274510735,85.0,83.0,0.0,0.0
221,2024-06-09,0,41,0.0,37.924380294075405,1.8645518274510735,77.0,40.0,0.0,0.0
222,2024-06-10,0,11,0.0,37.924380294075405,1.8645518274510735,32.0,34.0,0.0,4.092473440247649
223,2024-06-11,0,30,0.0,37.924380294075405,1.8645518274510735,53.0,45.0,4.0307884527636375,3.784410354473241
224,2024-06-12,0,64,0.0,38.35742371462124,1.878442542506303,18.0,15.0,3.879229436027384,3.8565842237354513
225,2024-06-13,107,25,4.195331443857608,40.82129543411796,1.9114497303035638,37.0,40.0,3.922631560097957,4.298990346923293
226,2024-06-14,2,43,1.0702738200850799,41.113579712567095,1.8866168251825037,46.0,40.0,0.0,0.0
227,2024-06-15,0,85,0.0,41.33186408215515,1.876442854662277,83.0,141.0,0.0,0.0
